#                            LocalEnergy               Variance           ratio 
0  1  -9.921358 +/- 0.001662    1.1   2.895451 +/- 0.030827    1.0   0.2918 
0  2  -9.464481 +/- 0.002783    1.1   4.746707 +/- 0.036185    1.0   0.5015 
0  3  -9.614002 +/- 0.001632    1.1   2.911130 +/- 0.039431    1.2   0.3028 
0  4  -9.572665 +/- 0.001588    1.1   2.897044 +/- 0.019371    1.3   0.3026 
1  2  -8.940660 +/- 0.002662    1.1   4.966182 +/- 0.035265    1.1   0.5555 
1  3  -9.215329 +/- 0.001629    1.0   3.190139 +/- 0.027659    1.0   0.3462 
1  4  -9.198143 +/- 0.001729    1.1   3.205862 +/- 0.032284    1.0   0.3485 
2  3  -8.748026 +/- 0.002807    1.1   4.448660 +/- 0.025730    1.1   0.5085 
2  4  -8.729019 +/- 0.002769    1.2   4.460091 +/- 0.027189    1.3   0.5109 
3  4  -9.168231 +/- 0.001463    1.0   2.788896 +/- 0.046105    1.0   0.3042 
