 
                            LocalEnergy               Variance           ratio 
u0.50/dmc/lda-0-ecut320-dmc  series 1  -241.043219 +/- 0.000979    2.1   8.512965 +/- 0.009582    1.1   0.0353 
u0.50/dmc/lda-0-ecut320-dmc  series 2  -241.036688 +/- 0.000750    1.4   8.512143 +/- 0.007694    1.1   0.0353 
 
u10.00/dmc/lda-0-ecut320-dmc  series 1  -241.047116 +/- 0.000679    1.4   8.371442 +/- 0.012312    1.1   0.0347 
u10.00/dmc/lda-0-ecut320-dmc  series 2  -241.041154 +/- 0.000753    1.3   8.390563 +/- 0.019218    1.0   0.0348 
 
u5.00/dmc/lda-0-ecut320-dmc  series 1  -241.055695 +/- 0.000839    1.8   8.297161 +/- 0.008612    1.3   0.0344 
u5.00/dmc/lda-0-ecut320-dmc  series 2  -241.049919 +/- 0.000774    1.6   8.293862 +/- 0.007840    1.0   0.0344 
 
                            LocalEnergy               Variance           ratio 
u2.00/dmc/lda-0-ecut320-dmc  series 1  -241.050899 +/- 0.000804    1.4   8.443340 +/- 0.009160    1.1   0.0350 
u2.00/dmc/lda-0-ecut320-dmc  series 2  -241.046127 +/- 0.000716    1.4   8.449462 +/- 0.008106    1.1   0.0351 
 
u4.00/dmc/lda-0-ecut320-dmc  series 1  -241.055626 +/- 0.000866    1.8   8.385645 +/- 0.012040    1.0   0.0348 
u4.00/dmc/lda-0-ecut320-dmc  series 2  -241.049094 +/- 0.000661    1.3   8.374308 +/- 0.007617    1.0   0.0347 
 
u6.00/dmc/lda-0-ecut320-dmc  series 1  -241.055042 +/- 0.000745    1.6   8.282015 +/- 0.007866    1.0   0.0344 
u6.00/dmc/lda-0-ecut320-dmc  series 2  -241.050820 +/- 0.000786    1.6   8.301797 +/- 0.014913    1.0   0.0344 
 
u8.00/dmc/lda-0-ecut320-dmc  series 1  -241.052681 +/- 0.000817    1.7   8.252234 +/- 0.008097    1.2   0.0342 
u8.00/dmc/lda-0-ecut320-dmc  series 2  -241.045831 +/- 0.000678    1.3   8.268276 +/- 0.010845    1.0   0.0343 
